Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 13:07:13.822,-0.533628,-0.60202837,-0.5135817
2014-03-09 13:07:13.845,-0.34828845,-0.74560386,-0.54126775
2014-03-09 13:07:13.865,-0.4354887,-0.6910328,-0.5022702
2014-03-09 13:07:13.884,-0.38130707,-0.52607834,-0.57700676
2014-03-09 13:07:13.903,-0.36280861,-0.39960483,-0.56795955
2014-03-09 13:07:13.926,-0.45535627,-0.35835478,-0.46808636
2014-03-09 13:07:13.944,-0.47811157,-0.3499726,-0.4383636
2014-03-09 13:07:13.963,-0.57216716,-0.2678353,-0.33231604
2014-03-09 13:07:13.983,-0.54708135,-0.28959358,-0.34120408
2014-03-09 13:07:14.004,-0.5027859,-0.40791196,-0.4116244
2014-03-09 13:07:14.024,-0.5507283,-0.4875898,-0.4263873
2014-03-09 13:07:14.043,-0.5293015,-0.5049414,-0.43577132
2014-03-09 13:07:14.063,-0.49670583,-0.5058747,-0.42500085
2014-03-09 13:07:14.085,-0.5066267,-0.5451064,-0.38839227
2014-03-09 13:07:14.104,-0.5038343,-0.5786311,-0.34915495
2014-03-09 13:07:14.123,-0.4924445,-0.59974605,-0.31639415
2014-03-09 13:07:14.145,-0.48076704,-0.61075974,-0.2936589
2014-03-09 13:07:14.164,-0.4608493,-0.6169433,-0.28842223
2014-03-09 13:07:14.184,-0.44178686,-0.62210256,-0.27875844
2014-03-09 13:07:14.214,-0.42407122,-0.61879766,-0.27046895
2014-03-09 13:07:14.229,-0.4253308,-0.6176488,-0.26683772
2014-03-09 13:07:14.247,-0.42604265,-0.6161997,-0.25481406
2014-03-09 13:07:14.266,-0.43571,-0.61432815,-0.23693715
2014-03-09 13:07:14.285,-0.4380502,-0.60828596,-0.21641214
2014-03-09 13:07:14.305,-0.4410352,-0.5968353,-0.20884487
2014-03-09 13:07:14.327,-0.46398464,-0.5839606,-0.20992692
2014-03-09 13:07:14.345,-0.47159287,-0.571796,-0.20157659
2014-03-09 13:07:14.385,-0.47235498,-0.55914515,-0.19647862
2014-03-09 13:07:14.397,-0.49741125,-0.54525316,-0.19652681
2014-03-09 13:07:14.413,-0.5276441,-0.53170896,-0.20397034
2014-03-09 13:07:14.433,-0.5343712,-0.5237685,-0.20201798
2014-03-09 13:07:14.454,-0.50501055,-0.5121777,-0.20635739
2014-03-09 13:07:14.474,-0.5216356,-0.50734067,-0.22909284
2014-03-09 13:07:14.497,-0.5412786,-0.49677008,-0.23348199
2014-03-09 13:07:14.514,-0.5453543,-0.4915746,-0.2278516
2014-03-09 13:07:14.534,-0.5518162,-0.488066,-0.22533989
2014-03-09 13:07:14.552,-0.5653838,-0.48596692,-0.22761
2014-03-09 13:07:14.574,-0.58568734,-0.4910077,-0.24449715
2014-03-09 13:07:14.613,-0.58272064,-0.49675822,-0.25523055
2014-03-09 13:07:14.621,-0.5792011,-0.5033933,-0.2629323
2014-03-09 13:07:14.635,-0.5878804,-0.5109225,-0.2654572
2014-03-09 13:07:14.659,-0.605658,-0.5180881,-0.26489225
2014-03-09 13:07:14.677,-0.6151054,-0.5242958,-0.26070628
2014-03-09 13:07:14.697,-0.6159644,-0.52741665,-0.2534012
2014-03-09 13:07:14.715,-0.6128531,-0.52759904,-0.24970503
2014-03-09 13:07:14.737,-0.6128674,-0.52553195,-0.2506572
2014-03-09 13:07:14.757,-0.61496896,-0.52149844,-0.24841624
2014-03-09 13:07:14.776,-0.6250384,-0.5185278,-0.24715751
2014-03-09 13:07:14.798,-0.61691374,-0.5189032,-0.2492266
2014-03-09 13:07:14.817,-0.6126298,-0.51892644,-0.24689834
2014-03-09 13:07:14.837,-0.6154086,-0.51813674,-0.24374928
2014-03-09 13:07:14.855,-0.6177173,-0.517197,-0.24037823
2014-03-09 13:07:14.877,-0.6161291,-0.51791793,-0.23713355
2014-03-09 13:07:14.901,-0.6122332,-0.52069545,-0.24020796
2014-03-09 13:07:14.912,-0.60888076,-0.52219886,-0.24330325
2014-03-09 13:07:14.931,-0.6078801,-0.5211388,-0.24024975
2014-03-09 13:07:14.952,-0.605609,-0.51995325,-0.23926099
2014-03-09 13:07:14.971,-0.6080815,-0.51805586,-0.2414879
2014-03-09 13:07:14.992,-0.6089675,-0.51727057,-0.24289827
2014-03-09 13:07:15.012,-0.6053094,-0.51781166,-0.23978728
2014-03-09 13:07:15.035,-0.60231394,-0.51828367,-0.23865944
2014-03-09 13:07:15.056,-0.59709626,-0.5193968,-0.23472333
2014-03-09 13:07:15.074,-0.59934497,-0.5183925,-0.23175481
2014-03-09 13:07:15.095,-0.60423034,-0.5152067,-0.23177762
2014-03-09 13:07:15.115,-0.60769546,-0.51051587,-0.2252546
2014-03-09 13:07:15.136,-0.6075029,-0.5071375,-0.22215581
2014-03-09 13:07:15.154,-0.5995583,-0.50551075,-0.22434893
2014-03-09 13:07:15.174,-0.5925497,-0.50480205,-0.22765863
2014-03-09 13:07:15.196,-0.59093803,-0.50419253,-0.22682245
2014-03-09 13:07:15.216,-0.59146273,-0.5028315,-0.22483262
2014-03-09 13:07:15.235,-0.588057,-0.5027178,-0.2281733
2014-03-09 13:07:15.255,-0.57969415,-0.5034404,-0.23137733
2014-03-09 13:07:15.277,-0.5779419,-0.5042789,-0.23131262
2014-03-09 13:07:15.297,-0.5751927,-0.50532925,-0.23016787
2014-03-09 13:07:15.314,-0.5727896,-0.5048885,-0.22852983
2014-03-09 13:07:15.336,-0.5760968,-0.5032282,-0.22889936
2014-03-09 13:07:15.356,-0.57965004,-0.49945977,-0.22629781
2014-03-09 13:07:15.376,-0.58058304,-0.49668887,-0.2244796
2014-03-09 13:07:15.395,-0.57967836,-0.4949351,-0.22261697
2014-03-09 13:07:15.416,-0.578918,-0.49334198,-0.2222725
2014-03-09 13:07:15.436,-0.580254,-0.49086827,-0.22307935
2014-03-09 13:07:15.454,-0.58148605,-0.48864093,-0.22415368
2014-03-09 13:07:15.474,-0.58208984,-0.48705578,-0.22496013
2014-03-09 13:07:15.500,-0.5826974,-0.4858572,-0.22640695
2014-03-09 13:07:15.516,-0.58430886,-0.48459324,-0.22826461
2014-03-09 13:07:15.535,-0.5861296,-0.483502,-0.22963677
2014-03-09 13:07:15.553,-0.5885345,-0.4829519,-0.23026447
2014-03-09 13:07:15.573,-0.5893771,-0.48384622,-0.23152001
2014-03-09 13:07:15.592,-0.5900174,-0.4851674,-0.23278823
2014-03-09 13:07:15.611,-0.59047496,-0.48648557,-0.23413016
2014-03-09 13:07:15.631,-0.59213865,-0.4869835,-0.23469068
2014-03-09 13:07:15.652,-0.59286,-0.48755464,-0.23644081
2014-03-09 13:07:15.672,-0.5934551,-0.48760858,-0.23784702
2014-03-09 13:07:15.693,-0.5950292,-0.48719135,-0.23898694
2014-03-09 13:07:15.714,-0.5957361,-0.48686236,-0.2397015
2014-03-09 13:07:15.734,-0.5965368,-0.48645195,-0.24064867
2014-03-09 13:07:15.755,-0.59731025,-0.48589295,-0.24145181
2014-03-09 13:07:15.775,-0.5971591,-0.48565793,-0.24186517
2014-03-09 13:07:15.800,-0.59579426,-0.4856247,-0.24101521
2014-03-09 13:07:15.812,-0.5967429,-0.4856516,-0.24108963
2014-03-09 13:07:15.831,-0.5970828,-0.4861168,-0.24057794
2014-03-09 13:07:15.853,-0.5966057,-0.48638147,-0.24035941
