Date,accelX-gX(m/s^2),accelY-gY(m/s^2),accelZ-gZ(m/s^2)
2014-03-09 15:36:11.704,7.1634517,-3.4859576,6.7803793
2014-03-09 15:36:11.714,7.086837,-3.4476504,6.933608
2014-03-09 15:36:11.745,7.1634517,-3.2944214,7.3166804
2014-03-09 15:36:11.748,7.393295,-3.1794999,7.8529816
2014-03-09 15:36:11.768,7.5848308,-3.1794999,8.6574335
2014-03-09 15:36:11.799,7.469909,-3.0262709,9.193734
2014-03-09 15:36:11.819,7.2783732,-2.834735,9.461885
2014-03-09 15:36:11.838,7.240066,-2.7581203,9.461885
2014-03-09 15:36:11.838,7.5848308,-2.7964275,9.155427
2014-03-09 15:36:11.856,7.8529816,-2.7964275,8.580819
2014-03-09 15:36:11.858,7.8912888,-2.528277,8.0445175
2014-03-09 15:36:11.878,7.8146744,-2.4516625,7.73806
2014-03-09 15:36:11.898,7.73806,-2.3750482,7.5082164
2014-03-09 15:36:11.903,7.8146744,-2.3750482,7.240066
2014-03-09 15:36:11.924,7.8912888,-2.3750482,6.895301
2014-03-09 15:36:11.933,7.8529816,-2.0685902,6.6271505
2014-03-09 15:36:11.954,7.8146744,-1.8770541,6.5122285
2014-03-09 15:36:11.977,7.776367,-1.8770541,6.397307
2014-03-09 15:36:11.984,7.776367,-1.8770541,6.244078
2014-03-09 15:36:12.004,7.699753,-1.7621324,6.167464
2014-03-09 15:36:12.014,7.5465236,-1.532289,6.0525417
2014-03-09 15:36:12.033,7.2783732,-1.340753,5.899313
2014-03-09 15:36:12.053,7.2783732,-1.2641385,5.746084
2014-03-09 15:36:12.067,7.3549876,-1.3024458,5.592855
2014-03-09 15:36:12.084,7.3549876,-1.0342951,5.554548
2014-03-09 15:36:12.093,7.3549876,-0.80445176,5.439626
2014-03-09 15:36:12.119,7.5465236,-0.80445176,5.209783
2014-03-09 15:36:12.124,7.8529816,-0.8810662,4.9416323
2014-03-09 15:36:12.144,8.312668,-1.1875241,4.8267107
2014-03-09 15:36:12.164,8.734048,-1.3790601,4.711789
2014-03-09 15:36:12.178,8.887277,-1.6089035,4.55856
2014-03-09 15:36:12.194,8.772355,-1.685518,4.405331
2014-03-09 15:36:12.205,8.42759,-1.7238252,4.3287168
2014-03-09 15:36:12.225,8.159439,-1.8004397,4.4819455
2014-03-09 15:36:12.245,8.312668,-2.0685902,4.673482
2014-03-09 15:36:12.254,8.389283,-2.3750482,4.55856
2014-03-09 15:36:12.275,8.42759,-2.3750482,4.5202527
2014-03-09 15:36:12.286,8.619126,-2.4899697,4.6351743
2014-03-09 15:36:12.305,8.6574335,-2.566584,4.7884035
2014-03-09 15:36:12.314,8.197746,-1.9919758,5.094861
2014-03-09 15:36:12.348,7.8529816,-1.532289,5.363012
2014-03-09 15:36:12.362,7.6231384,-1.2641385,5.2863975
2014-03-09 15:36:12.368,7.3549876,-1.2258313,4.8267107
2014-03-09 15:36:12.386,7.3549876,-1.3024458,4.55856
2014-03-09 15:36:12.396,7.5848308,-1.4556746,4.55856
2014-03-09 15:36:12.418,7.929596,-1.685518,4.865018
2014-03-09 15:36:12.433,8.274361,-1.8004397,5.5162406
2014-03-09 15:36:12.448,8.504205,-1.7621324,5.9759274
2014-03-09 15:36:12.464,8.772355,-1.6472107,6.435614
2014-03-09 15:36:12.474,8.963891,-1.532289,6.8186865
2014-03-09 15:36:12.493,8.925584,-1.4556746,7.240066
2014-03-09 15:36:12.514,8.6574335,-1.4173675,7.5848308
2014-03-09 15:36:12.525,8.389283,-1.2258313,7.8912888
2014-03-09 15:36:12.544,8.197746,-0.9576807,8.0445175
2014-03-09 15:36:12.555,7.929596,-0.61291564,7.929596
2014-03-09 15:36:12.574,7.699753,-0.22984336,7.431602
2014-03-09 15:36:12.584,7.5465236,0.30645782,7.086837
2014-03-09 15:36:12.605,7.393295,0.61291564,6.742072
2014-03-09 15:36:12.617,7.240066,0.5746084,6.4739213
2014-03-09 15:36:12.633,7.1634517,0.4213795,6.167464
2014-03-09 15:36:12.685,7.086837,0.22984336,5.899313
2014-03-09 15:36:12.688,7.086837,0.038307227,5.66947
2014-03-09 15:36:12.691,7.3166804,-0.19153613,5.5162406
2014-03-09 15:36:12.699,7.5465236,-0.5363012,5.4779334
2014-03-09 15:36:12.717,7.6231384,-1.0342951,5.631162
2014-03-09 15:36:12.733,7.699753,-1.532289,5.7843914
2014-03-09 15:36:12.744,7.73806,-1.8387469,5.7843914
2014-03-09 15:36:12.764,7.8146744,-2.030283,5.899313
2014-03-09 15:36:12.773,7.8912888,-2.0685902,6.0525417
2014-03-09 15:36:12.793,7.8912888,-1.9919758,6.129156
2014-03-09 15:36:12.813,7.8529816,-1.8004397,6.205771
2014-03-09 15:36:12.824,7.8529816,-1.6472107,6.167464
2014-03-09 15:36:12.843,7.8146744,-1.532289,5.899313
2014-03-09 15:36:12.853,7.699753,-1.4556746,5.66947
2014-03-09 15:36:12.873,7.5465236,-1.4556746,5.592855
2014-03-09 15:36:12.893,7.393295,-1.4173675,5.66947
2014-03-09 15:36:12.903,7.393295,-1.4173675,5.861006
2014-03-09 15:36:12.917,7.393295,-1.2258313,6.3589997
2014-03-09 15:36:12.933,7.3549876,-1.0726024,7.086837
2014-03-09 15:36:12.953,7.3549876,-1.0726024,7.8529816
2014-03-09 15:36:12.989,7.3549876,-0.91937345,8.580819
2014-03-09 15:36:12.992,7.201759,-0.842759,9.232041
2014-03-09 15:36:13.005,7.0485296,-0.9959879,9.576807
2014-03-09 15:36:13.018,6.8186865,-1.0726024,9.615114
2014-03-09 15:36:13.033,6.5122285,-1.1875241,9.576807
2014-03-09 15:36:13.053,6.2823853,-1.1875241,9.921572
2014-03-09 15:36:13.068,6.3589997,-0.9959879,10.649409
2014-03-09 15:36:13.084,6.7803793,-0.6512229,11.60709
2014-03-09 15:36:13.094,6.8569937,-0.076614454,12.220005
2014-03-09 15:36:13.114,6.588843,0.0,12.5264635
2014-03-09 15:36:13.125,6.435614,-0.4213795,12.871228
2014-03-09 15:36:13.145,6.205771,-0.5746084,12.947843
2014-03-09 15:36:13.167,6.205771,-0.61291564,13.369223
2014-03-09 15:36:13.177,6.703765,-0.19153613,14.748282
2014-03-09 15:36:13.194,7.086837,-0.076614454,16.587029
2014-03-09 15:36:13.206,7.201759,-0.45968673,17.851168
2014-03-09 15:36:13.227,6.6271505,-1.340753,17.429789
2014-03-09 15:36:13.252,6.129156,-2.2218192,15.820885
2014-03-09 15:36:13.265,6.0525417,-2.4899697,14.135366
2014-03-09 15:36:13.277,6.2823853,-2.2601264,12.909535
2014-03-09 15:36:13.286,6.7803793,-1.8004397,11.836933
2014-03-09 15:36:13.307,7.1634517,-1.4173675,11.109096
2014-03-09 15:36:13.317,7.086837,-1.3024458,10.496181
2014-03-09 15:36:13.335,6.703765,-1.3790601,9.615114
2014-03-09 15:36:13.357,6.205771,-1.4556746,8.082825
2014-03-09 15:36:13.367,5.707777,-1.2258313,6.205771
